Query	ChatId	UserId	ChatQ	BotAnswer	BotHelp	Sys	templateId	templateText	etalon_text	algorithm	score	timeout
Здравствуйте, ИП планирует открыть компьютерный клуб. Можно ли этот вид деятельности перевести на ПСН (регион Хабаровский край). Также в этом клубе будут подаваться закуски и напитки.	11659261	4304563	1	0	0	БСС	0				0.0	0.4157423973083496
Здравствуйте, скажите, если сотрудник в организацию предоставляет заявление любого типа, например на выплату алиментов. Может ли организация принять заявление, напечатанное на компьютере, но подписано собственноручно? Как правильно?	11659336	22080806	1	0	0	БСС	554057	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/485216/actual/	можно ли напечатать заявление о приеме на работу на компьютере	SbertT5	0.6495646238327026	0.36357617378234863
Здравствуйте! ИП на патенте (грузовые перевозки), может ли ИП продать запчасти юридическому лицу? нужно сначала получить новый патент на розницу?	11659275	19606006	1	0	0	БСС	0				0.0	0.810420036315918
"Если дни отъезда в командировку или возвращения из командировки попадают на выходные или праздничные дни, то они подлежат оплате в двойном размере или оплате в одинарном размере с предоставлением дополнительного дня отдыха. Уточните, пожалуйста, распространяется ли это правило на сотрудников с разъездным характером работы за дни отъезда в служебную поездку и возвращения из нее?

Просьба ответить на вопрос о разъездном характере работы, а не о командировке ."	11659339	16097870	1	0	0	БСС	0				0.0	1.1416828632354736
Здравствуйте! Город Бодайбо относится к районам Крайнего Севера? Конкретный ответ нужен. Не надо присылать постановление где написано про бодайбинский район. Нужно конкретно про город Бодайбо.	11659284	21632989	1	0	0	БСС	0				0.0	0.7993271350860596
Здравствуйте, хотим увеличить показатели прибыли за полугодие 2024 г., поэтому вопрос, например есть акт на услуги за аренду, датированный 30.06.24, если мы намеренно проведем его 01.07.24, например из-за того что арендодатель нам предоставил документ после сдачи декларации по НП и таким образом увеличим прибыл за полугодие? Или мы обязаны принять расходы во 2-м квартале и пересдать декларацию?	11659303	178318	1	0	0	БСС	0				0.0	0.7270767688751221
Добрый день, подскажите пожалуйста какой принцип присваивания номера заявления ? Нумерация идет с начала года или внутри месяца или не имеет значения ?	11659295	1826086	1	0	0	БСС	553030	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/633218/actual/	нумерация путевых листов с начала года	SbertT5	0.9796003699302673	0.5198469161987305
Добрый день . Подскажите перечень обстоятельств учитываемых ИФНС позволяющих снизить сумму штрафа	11659293	10903987	1	1	1	БСС	603608	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/482122/actual/	какие правила позволят организации снизить штраф c 6 апреля	SbertT5	0.9662340879440308	0.5226249694824219
Справочник «Отчетность за полугодие и II квартал 2024 года»	11659294	1560918	1	1	1	БСС	606379	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/148354/actual/	Справочник «Отчетность за полугодие и II квартал 2024 года»	Jaccard	1.0	0.4275627136230469
Недоамортизированная часть ос корректируется при расчете налога на прибыль согласно спи?	11659299	454088	1	0	0	БСС	0				0.0	0.9926009178161621
Добрый день! ООО на УСН Д-Р. Налоговый учет суммы возврата переплаты с ЕНС на р/с.	11659312	17179382	1	0	0	БСС	0				0.0	0.9086909294128418
Добрый день! Подскажите пожалуйста код по ОКЗ для инструктор по вождению на спецтехнике ?	11659313	271750	1	0	0	БСС	0				0.0	0.7306451797485352
Добрый день, какие формы реестров необходимо предоставить вместе с декларацией на товары при отгрузке несырьевых товаров, реализованной в таможенной процедуре экспорта	11659324	1576982	1	0	0	БСС	411403	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/411403/actual/	таможенные процедуры при экспорте товара из рф в рб	SbertT5	0.7129228115081787	0.9196679592132568
Добрый день, Мы получили аванс от лизинговой компании по договору купле-продажи-выставили им авансовую с/ф, но у нас есть между нами еще договор по лизингу по которому мы должны оплатить авансовый платеж, но мы заключили соглашения о взаиморасчетах и должны сделать взаимозачет. Лизинговая компания просит еще авансовую счет -фактуру на взаимозачет. Вопрос какие нужно сделать проводки и как им выставить с/ф на взаимозачет.	11659328	5006242	1	0	0	БСС	0				0.0	1.636470079421997
Дарья , да это не совсем то потому что там все про роспотребнадзор а нужно по штрафам налоговой	11659332	10903987	1	0	0	БСС	584810	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/693363/actual/	какой штраф если не предоставили пояснение для налоговой	SbertT5	0.8459672331809998	0.42649269104003906
Доброе утро! Может ли ифнс в рамках выездной проверки нашего клиента (покупателя товара) запросить у нас документы за 2020 (запрашивают за период с 2020 по 2023 годы) в 2024 году. Или в данном случае 3х годичный срок не действует? Если действует, то как мотивированно отказать?	11659331	8113610	1	1	0	БСС	602910	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/726745/actual/	если запросили документы вне рамок налоговых проверок за 2017 год по нашему контрагенту обязаны ли мы предоставлять если уже за пределами трех лет	SbertT5	0.8509365916252136	0.6995718479156494
Добрый день. Подскажите, пожалуйста, при регистрации договора по операционной аренде в бюджетном учреждении на счетах санкционирования нужно ли принимать бюджетное обязательство на счет 506.10 - 502.11. Либо, в связи изменениями в 2023 году по аренде бюджетное обязательство принимается на счет при принятии прав пользования 506.99 - 502,99, а на счет 506.10 принимать не нужно? Или нужно применять обе проводки и при регистрации договора и при принятии прав пользования?	11659348	18000864	1	0	0	БСС	0				0.0	1.0236189365386963
Здравствуйте! Вопрос в следующем: организация ООО на ОСНО оказывает ежемесячную благотворительную помощь ребенку-инвалиду путем перечисления денежных средств на банковский счет родителя. Нужно ли начислять на данные суммы страховые взносы, НДФЛ и учитывать данный расход в уменьшение налоговой базы по налогу на прибыль?	11659333	1941394	1	0	0	БСС	0				0.0	1.1233494281768799
Добрый день,	11659340	2174529	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Добрейший день	Jaccard	1.0	0.13920855522155762
льготный проезд в отпуск если на момент отъезда несовершенолетний а по прибытию обратно уже исполниться 18 лет	11659344	21858712	1	1	0	БСС	73039	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/73039/actual/	оплата проезда проезда к отпуску и обратно	SbertT5	0.7462455034255981	0.8844330310821533
Доброе утро! Организация на УСН ( доходы 6%). Скажите пожалуйста должна ли она сдавать декларацию по налогу на имущество? Справочно у организации нет имущества, облагаемого по кадастровой стоимости. Есть только движимое имущество- автотранспорт). Спасибо	11659376	7097160	1	0	0	БСС	0				0.0	0.920865535736084
можно ли компании открыть два зарплатных проекта в разных банках	11659352	22079527	1	1	1	БСС	570663	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/665293/actual/	можно компании открыть зарплатный проект в разных банках	SbertT5	0.886853814125061	0.7169780731201172
Доброе утро! Програмное обеспечение - это НМА или нет?	11659389	19715964	1	0	0	БСС	600929	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/720458/actual/	программное обеспечение нма	SbertT5	0.8940478563308716	0.517880916595459
Здравствуйте. Продавец выставил счет-фактуру на полученный аванс 25 марта, но передал ее покупателю по ЭДО только 28.06.. Имеет ли право покупатель принять НДС с выданного аванса во 2 квартале?	11659357	784743	1	0	0	БСС	590489	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/145549/actual/	счет-фактура на полученный аванс у продавца	SbertT5	0.8531014323234558	0.39925289154052734
форма доверенности в налоговую	11659391	9025300	1	1	1	БСС	122641	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/122641/actual/	форма доверенности в налоговую	Jaccard	1.0	0.27961111068725586
Добрый день! Организация на общей системе н/обл решила отсыпать пляж для посетителей (получение прибыли), как учитывать песок в бух. и налоговом учете. (принимать в расходы на прибыль или нет)?	11659363	11059255	1	0	0	БСС	0				0.0	0.6426212787628174
Здравствуйте! Организация экспортирует в Киргизию лом черных металлов. В какой момент она может заявить НДС к вычету по приобретенным для экспорта товарам?	11659383	137745	1	1	1	БСС	578620	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/681760/actual/	когда заявляют вычет по ндс при экспорте несырьевых товаров	SbertT5	0.946327805519104	0.43396496772766113
Добрый день. Можно ли отражать капитальные вложения на арендованное основное средство?	11659412	568012	1	1	0	БСС	548085	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/623930/actual/	что относится к капитальным вложениям основных средств	SbertT5	0.9298493266105652	0.5384154319763184
добрый день	11659396	2367234	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Добрейший день	Jaccard	1.0	0.12921428680419922
справочник отчетности за полугодие	11659374	529621	1	1	1	БСС	111935	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/111935/actual/	справочники отчетность полугодие	Jaccard	1.0	0.19335508346557617
ку воркод-пробиваем по кассе	11659417	3157886	1	1	1	БСС	67533	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/67533/actual/	безнал не пробит по кассе	SbertT5	0.9496811032295227	1.061154842376709
"Добрый день.
Подскажите, пжл, как осуществляется продажа товаров у розницы в рассрочку?
Понимаю, что НДС я начисляю полностью в момент отгрузки. А как пробиваются чеки в он-лайн кассе, если оплата проходит в пять этапов? Возможен ли возврат от покупателя при такой продаже, если да - то как оформляется?

© Материал из БСС «Система Главбух».
Подробнее: https://1gl.ru/#/recommendations/?of=copy-f7a10332c0"	11659384	3793535	1	0	0	БСС	0				0.0	0.14009761810302734
Добрый день. Нужна информация по теме: ООО ликвидируется, один учредитель, вся кредиторская задолженность погашена. На счете остались деньги, порядок перечисления учредителю, удержание ндфл.	11659421	14192292	1	0	0	БСС	0				0.0	0.6034772396087646
Добрый день. На балансе есть старое здание склада. Нам сделали работы по монтажу дренажной системы по отводу уровня грунтовых вод вокруг этого склада (чтобы не топило).. Подскажите,куда нам отнести эти работы на удорожание здания, или как ремонт???? сумма работ 1500000рублей.	11659392	181529	1	0	0	БСС	699113	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/699113/actual/	монтаж водостоков здания куда относить затраты	SbertT5	0.8745154142379761	1.504685640335083
Добрый день. Подскажите, если приглашение к ЭДО принято 01.06.2024. Можно ли подписать по ЭДО договор от 01.05.2024? Будет ли он считаться действительным от 01.05.2024?	11659428	8279787	1	0	0	БСС	0				0.0	1.0631952285766602
Добрый день.Можит ли стоимость материалов подрядчика в КС быть больше ,чем она указана в бухгалтерском учете?	11659399	15303797	1	1	0	БСС	542590	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/131175/actual/	бухгалтерский и налоговый учет у ген подрядчика	SbertT5	0.7992810606956482	0.5024707317352295
Здравствуйте! помогите с ответом на уведомление	11659408	1641317	1	1	0	БСС	423835	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/422282/actual/	ответ в налоговую на уведомление о вызове	SbertT5	0.5014809966087341	0.9792675971984863
подали декларацию по налогу на имуществу по среднегодовой стоимости, оказалось надо по кадастровой. Как правильно подать нулевую декларацию?	11659400	21993027	1	0	0	БСС	590635	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/703109/actual/	декларация по налогу на имущество юрлица за 2024 куда подавать по среднегодовой	SbertT5	0.9372972846031189	0.9355137348175049
Добрый день. Должен ли самозанятый предоставлять вместе с чеком акт?	11659423	21276044	1	1	1	БСС	570175	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142683/actual/	должны ли самозанятые предоставлять акты выполненных работ	SbertT5	0.9660255908966064	0.7191603183746338
добрый день! как учесть транспортные расходы до покупателя при реализации товара?	11659427	4097619	1	1	1	БСС	478683	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/452171/actual/	как покупателю учесть транспортные расходы	SbertT5	0.931273341178894	1.126976490020752
куар код	11659415	21981876	1	1	1	БСС	417736	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/417736/actual/	куар код	Jaccard	1.0	0.6054210662841797
Спасибо, ответ понятен	11659432	627118	1	1	0	БСС	100000013	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.	Спасибо за понятный ответ	Jaccard	1.0	1.2163877487182617
Добрый день!	11659419	2699351	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Добрейший день	Jaccard	1.0	2.951157569885254
Доброе, нам дали ответ, что С самозанятым нельзя заключить именно договор перевозки. Напишите пжта на каком основании?	11659442	9198755	1	0	0	БСС	570163	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/142683/actual/	договор юр лица на перевозку с самозанятым	SbertT5	0.8254551291465759	1.1593356132507324
Добрый день	11659444	877995	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Добрейший день	Jaccard	1.0	11.491244792938232
Есть-ли отраслевое соглашение по ОКВЭД 46.69	11659457	5352281	1	0	0	БСС	0				0.0	0.48330211639404297
Спасибо!	11659449	17359321	1	1	1	БСС	100000013	Спасибо, что доверяете нам! Возвращайтесь с новыми вопросами.	спасибо	Jaccard	1.0	0.18712854385375977
добрый день, подскажите , пожалуйста какие изменения по больничному с 01.07.2024г	11659450	105751	1	0	0	БСС	0				0.0	1.0438051223754883
Добрый день! Компания на ОСНО.	11659464	9414588	1	1	1	БСС	560984	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/560984/actual/	компания на осно	Jaccard	1.0	0.4238462448120117
Здравствуйте! Работника вызвали в военкомат в выходной день. Положена ли ему оплата по среднему заработку?	11659460	1941394	1	1	0	БСС	589328	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/145402/actual/	расчет среднего заработка для выходного пособия	SbertT5	0.9258084297180176	0.599348783493042
Здравствуйте! Как возместить расходы на служебную поезду работнику по договору ГПХ. Каким налогами, взносами облагаются эти суммы?	11659462	16876434	1	1	0	БСС	721460	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/721460/actual/	как возместить расходы работнику за топливо в служебных целях	SbertT5	0.6926555633544922	0.9174973964691162
Здравствуйте! Входит ли в стаж для расчета отпускных отпуск по беременности и родам (140дней) ?	11659492	16057865	1	1	0	БСС	464142	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/410649/actual/	отпуск без содержания входит ли в отпускной стаж	SbertT5	0.6887630224227905	1.138676404953003
Добрый день, подскажите какие формы реестр нужно предоставить при экспорты в страны ЕАЭС вместо документов с 1 кв. 24?	11659466	1576982	1	1	0	БСС	0				0.0	6.641227722167969
Добрый день! Подскажите пож-та, как ООО уменьшить налог УСН на сумму страховых взносов за июнь 2024? Что нужно подать?	11659538	1575215	1	0	0	БСС	0				0.0	7.005537271499634
"Доброе утро! Подскажите, пж, ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""ВЫСШАЯ ШКОЛА ЭКОНОМИКИ""

это бюджетный платеж?"	11659468	1660819	1	0	0	БСС	0				0.0	1.1745779514312744
добрый день	11659479	203991	1	1	1	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Добрейший день	Jaccard	1.0	0.5791382789611816
Доброе утро	11659473	460102	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Доброго утра	Jaccard	1.0	0.3722360134124756
Добрый день! Подскажите, пожалуйста, сроки хранения договоров, актов, ТТН и т.п. для ООО.	11659505	20300788	1	1	0	БСС	503093	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/503093/actual/	сроки хранения акт выполненных работ с ооо	SbertT5	0.806036651134491	0.8474485874176025
Добрый день. Мы заключили договор на перевозку груза в беларусь с Российской компанией. Перевозчик нашел суббодрядчика который повезет наш груз, в СМР поставили штамп суббодрядчика. Кто должен был поставить штамп в СМР ?	11659495	7100429	1	0	0	БСС	0				0.0	0.7543020248413086
Добрый день, скажите пожалуйста, какую справку о доходах может предоставить ИП дл получения соц.выплата , пособий?	11659508	14747778	1	1	0	БСС	557894	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/641980/actual/	справка о доходах в соц защиту что включать	SbertT5	0.9287796020507812	0.7386531829833984
добрый день. Если штраф выписан на ООО, необходимо ли насчитывать взносы и НДФЛ на директора .	11659511	1568631	1	0	0	БСС	655888	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/655888/actual/	штрафы за неуплату ндфл и взносов	SbertT5	0.8561089634895325	0.8141038417816162
Добрый день, хотим выдать работнику премию к дню рождения в размере 3000 рублей. облагается ли она налогом?	11659514	3235089	1	1	0	БСС	534495	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/52707/actual/	премия к дню рождения налогообложение	SbertT5	0.9753895998001099	7.573711633682251
изменения с июля	11659524	4663783	1	1	1	БСС	606661	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/736122/actual/	изменения с июля	Jaccard	1.0	0.7142586708068848
налоговая реформа	11659563	21956664	1	1	1	БСС	604960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147984/actual/	налоговая реформа	Jaccard	1.0	1.8298680782318115
изменения с июля	11659566	1761771	1	1	1	БСС	606661	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/736122/actual/	изменения с июля	Jaccard	1.0	0.6298682689666748
Доброе утро! У нас на ИП выдан патент на две точки, сейчас одна точка закрывается. Ка правильно падать заявление на аннулирование патента на эту точку. Сначала нужно подать новое заявление на выдачу патента на работающую точку, а потом заявление на аннулирование патента закрывающейся точки?	11659541	7766706	1	0	0	БСС	0				0.0	0.8213057518005371
Дело в том, что у меня версия Главбух оплачена до ноября 2024г, почему так получилось, что она превратилась в пробный доступ, не понятно	11659543	627118	1	0	0	БСС	0				0.0	2.564950466156006
налоговая реформа	11659552	432403	1	1	1	БСС	604960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147984/actual/	реформа налоговая	Jaccard	1.0	0.4676971435546875
Добрый день, подскажите пожалуйста, мы на УСН относимся к малому предприятию, можем ли мы не сдавать выручку от продажи ОС в банк, если у нас нет лимита кассы.	11659559	554490	1	0	0	БСС	486126	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/505310/actual/	лимит кассы нет выручки	SbertT5	0.5940958261489868	0.9332046508789062
налоговая реформа	11659564	1560307	1	1	1	БСС	604960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147984/actual/	налоговая реформа	Jaccard	1.0	0.5326898097991943
"Добрый день. На интернет-площадке ОЗОН купили инструмент для организации. Оплатили счет ООО ""Интернет-решениям"", УПД выставляют с НДС от ИП и ставЯт печать ООО ""интернет-решения"". Правомерно ли это? Не будут ли вопросы у ФНС к такому документы?"	11659579	18942857	1	0	0	БСС	0				0.0	0.9063632488250732
"Добрый день,Вопрос: Предстоит реорганизация МУП ""Банно-прачечный комбинат"" в ООО. При реорганизации всех работников следует уволить? А затем принеять в ООО?"	11659583	3065689	1	0	0	БСС	0				0.0	0.9458484649658203
Добрый день! Обязано ли Общество предоставлять документы, предоставленные в УФНС в рамках ст. 93. 1 НК РФ, контрагенту, в отношении которого производился запрос?	11659598	4827857	1	0	0	БСС	0				0.0	0.5087110996246338
"Анастасия Григорьевна, ваш вопрос эксперт видит и работает над ним, дополнительно передали вашу информацию эксперту.

Здравствуйте! Скажите, пожалуйста, когда ожидать ответа?"	11659589	2027336	1	0	0	БСС	0				0.0	0.523780107498169
Назначается ли пособие по беременности и родам гражданке республики Кыргызстан, если нет вида на жительство?	11659588	17818783	1	1	1	БСС	520660	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/133409/actual/	пособие по беременности и родам мрот	SbertT5	0.9509991407394409	0.7056818008422852
отчетность за полугодие	11659626	210225	1	1	1	БСС	606379	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/148354/actual/	отчетность за полугодие	Jaccard	1.0	0.5010392665863037
"Добрый день!
ИП занимается оказанием услуг по проектированию изготовлению и монтажу систем вентиляции для частных домов во время строительства этих домов.
Работает в Московской области. применяет патент на строительство
Относится л данная деятельность к данному патенту?"	11659577	18084746	1	0	0	БСС	0				0.0	0.11252689361572266
Т.е правильно понимаю : когда получаем убыток от реализации ос , то в корректируем внереализациооные расходы согласно СПИ (через 97 счет), а при частичной ликвидации сразу списываем (единовременно) без корректировки.	11659594	454088	1	0	0	БСС	0				0.0	0.8940014839172363
Налоговый . Корректируется сумма внереализационных расходов при расчете налога на прибыль	11659611	454088	1	0	0	БСС	117862	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/117862/actual/	облагаемые внереализационные расходы по налогу на прибыль	SbertT5	0.8470004200935364	1.0404226779937744
День возвращения из командировки - считается в командировку для начисления суточных или нет, если возвращение рано утром в 6 утра	11659595	4451331	1	0	0	БСС	128440	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/128440/actual/	если сотрудник вернулся из командировки в 5 утра суточные	SbertT5	0.8495100140571594	0.81900954246521
Добрый день, Проконсультируйте пожалуйста. Гражданин Киргизии трудоустроен вахтовым методом. Нужна ли регистрация по месту пребывания, если он вернулся на работу после межвахтового отдыха?	11659600	2925349	1	0	0	БСС	0				0.0	0.7525794506072998
Здравствуйте! Кто должен предоставлять в ИФНС перечень заявлений о ввозе и уплате КНД 115035	11659608	16995508	1	1	0	БСС	0				0.0	0.7577402591705322
налоговая реформа	11659633	21733468	1	1	1	БСС	604960	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/147984/actual/	налоговая реформа	Jaccard	1.0	0.2477269172668457
Здравствуйте! Подскажите пожалуйста, подаем уточненный расчет по РСВ за 2022 год в 2024 году, какой КБК необходимо указать действующий в 2022 году или новый, действующий с 2023 года	11659722	4724623	1	1	0	БСС	591806	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/705846/actual/	какие кбк указывать в отчете рсв за год	SbertT5	0.9225138425827026	0.7758080959320068
изменения в июле	11659627	22080559	1	1	1	БСС	606661	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/736122/actual/	изменения июль	Jaccard	1.0	0.8426716327667236
здравствуйте	11659624	4637238	1	1	0	БСС	111100001	Рады приветствовать Вас на нашем сайте!	Здравствуйте	Jaccard	1.0	0.39508485794067383
Здравствуйте, сотрудник 3 недели был в командировке, может ли он заполнить 1 путевой лист на этот период?	11659631	21294799	1	0	0	БСС	567795	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/12/484101/actual/	путевой лист при однодневной командировке	SbertT5	0.6727767586708069	0.32370710372924805
