Query	ShortQuery	templateId	templateText	etalon_text	algorithm	score	timeout
подскажите, пожалуйста, у сотрудницы отпуск с 9 января 2024, отпускные мы выплачиваем 29 декабря 2023. Должны ли мы сумму НДФЛ отразить в уведомлении, которое формируется с 23.12-29.12?	Как рассчитывать отпуск в праздничные дни?	0				0.0	0.40708065032958984
Добрый день. вопрос по ЕФС-1 (стаж) есть сотрудники с отпуском за свой счёт - сдаём? сотрудники по уходу за ребёнком до 1,5 лет - не сдаём? Временная нетрудоспособность, отпуска - не сдаём? период работы по ТД и ГПХ - не сдаём? Доноры день сдачи и дни отпуска - сдаём, то какие коды или не сдаём? сотрудники в обособленном подразделении г.Кемерово- сдаём, то  какие коды, коэффец. или не сдаём? можно ссылку не на статью, а конкретно выдержку из документа	Как сдавать ЕФС-1 для сотрудников с разными типами отпуска?	0				0.0	0.28520703315734863
"Добрый день. Подскажите, пожалуйста, нужно ли подавать ЕФС-1 с типом ""Назначение выплат по ОСС"" на сотрудниц, которые уходят в отпуск по уходу от 1,5 до 3 лет, но работающих неполное рабочее время? спасибо"	"

Заполнение ЕФС-1 при уходе в отпуск по беременности и родам и уходу до 1.5 лет работающих неполное рабочее время?"	0				0.0	0.5120012760162354
Добрый день! Подскажите , пожалуйста ,    справка о среднем заработке с предыдущего места работы попадает в расчёт отпускных на новом месте?	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.5176904201507568
"Добрый день, подскажите, пожалуйста, если у сотрудника в период отпуска случился больничный лист. Сотрудник не хочет ""переносить отпуск на ""после окончания БЛ"" и выходит на работу. Как правильно создать приказ ""на отзыв из отпуска"" и тогда мы удерживаем отпускные  и за этот период начисляем оплату по БЛ? Или правильно  сделать приказ на ""перенос отпуска"", но у нас нет точных дат, так как сотрудник возмет эти дни в каких-то других месяцах в течение года?"	Как начислять и учитывать больничный лист в отпуске?	0				0.0	0.40212440490722656
добрый день. Работник целый месяц был в отпуске без сохранения з/пл .Надо ли его указывать в табеле учета рабочего времени? Программа его не заполняет.	Как учитывать отпуск без сохранения зарплаты в табеле учета рабочего времени?	403729	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/117241/actual/	как в табеле учета рабочего времени отразить отпуск без содержания	SbertT5	0.9551267027854919	0.4131913185119629
Сотрудник умер 7сентября 23г.,находясь на продолжительном б/листе,его родственникам выплачено пособие на погребение,мат.помощь 10000руб,компенсация за неиспользованный отпуск 15000руб.Какие суммы конкретно необходимо указать в строке 070 на этого сотрудника???	Какие суммы необходимо указать в строке 070 на сотрудника, умершего 7 сентября 2023 года, находясь на продолжительном больничном листе?	0				0.0	0.2959930896759033
Добрый день, у нас в компании есть сотрудница, у кот отпуск по беременности и родам. По новым правилам вместо СЗВ-СТАЖ , необх сдавать ЕФС раздел 1.2 и подать данные только по ней?	Как сдавать ЕФС-1 для сотрудницы на отпуск по беременности и родам вместо СЗВ-СТАЖ?	0				0.0	0.4202091693878174
Добрый день! Подскажите пожалуйста, обязательно ли платить сотруднице, которая находится в отпуске по уходу за ребенком, премию за выслугу лет в нашей компании?	Обязательно ли платить премию за выслугу лет сотруднице в отпуске по уходу за ребенком?	45792	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/386418/actual/	можно ли выдать работнику, находящемуся в отпуске по уходу за ребенком премию к празднику	SbertT5	0.9327182173728943	0.404829740524292
"День добрый. Скажите, как лучше поступить. Работнику выплатили отпускные в конце августа. За сентябрь. В сентябре он взял б/л на неделю. Пересчитала отпускные. И начисления в сентябре получились ""по минусу"". Что мне нужно скорректировать теперь, чтобы отчетность по страховым взносам правильно составить?"	Как скорректировать начисления в сентябре после выплаты отпускных и получения больничного листа?	0				0.0	0.42345118522644043
Добрый день! Отпуск у работника захватывает дни отдыха с 1 по 8 января 2024г., как считаются эти дни для отпуска?	Как рассчитывать отпуск в праздничные дни?	517017	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/574976/actual/	как определить продолжительность отпуска в январе 2022 с учетом нерабочих дней с 1 января по 9 января 2022	SbertT5	0.8336139917373657	0.4018368721008301
Здравствуйте! Если работницы давно в отпуске, то на конец года по ним в акте инвентаризации отпусков надо ставить расчетную цифру? Ведь в определенный момент средний заработок и резерв по их отпуску перестал пересчитываться из-за отсутствия среднего заработка	Как рассчитывается расчетная цифра для работницы в отпуске на конец года?	0				0.0	0.1878345012664795
обрый день, ООО УСН 6% стоматология частная. какой код надо использовать в СЗВ СТАЖ для отпуска по вредности по СОУТ- 2 недели?  «Какие коды и когда ставить в СЗВ-СТАЖ» © Материал из БСС «Система Главбух». Подробнее: https://1gl.ru/#/document/16/128553/?of=copy-99314412e7	Какой код надо использовать в СЗВ СТАЖ для отпуска по вредности по СОУТ-2 недели?	0				0.0	0.19597625732421875
Добрый день! Правомерно ли выплатить сотруднику денежную компенсацию за отпуск? Сотрудник не хочет идти в отпуск, а хочет вместо этого получить компенсацию. Спасибо.	Можно ли выплачивать денежную компенсацию за отпуск вместо самого отпуска?	443860	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/55892/actual/	компенсация деньгами вместо отпуска	SbertT5	0.8911853432655334	0.42608642578125
Добрый день. ЕФС-1  подраздел 1.2 сдают только по работникам, у которых есть право на досрочную пенсию. На остальных подавать его не нужно? т. е. отчет сдается только с разделом 2? нужно ли подавать сведения по отпускам без сохранения заработной платы и больничным?	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.30592942237854004
Как в отчете ЕФС-1 стаж(новый) показать работника, который был в отпуске по уходу за ребенком до 1,5 лет и работал неполный рабочий день	Как показать стаж работника, который был в отпуске по уходу за ребенком до 1,5 лет и работал неполный рабочий день в отчете ЕФС-1?	573384	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/670598/actual/	отчет ефс-1 стаж	SbertT5	0.5014523267745972	0.40909504890441895
Добрый день, если работник принят на работу  в 2021 году и в 23 году уже ходил в отпуск на 28 календарных дней и увольняется 27 декабря , значит компенсацию за отпуск он не получает	Получает ли работник компенсацию за отпуск, если он уволился после уже проведенного отпуска?	445536	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/62441/actual/	за какой период рассчитывается компенсация при увольнении если работник не ходил в отпуск	SbertT5	0.9709234833717346	0.37641096115112305
если сотрудник в отпуске по уходу за ребенком и работает 5 часов в день, что указывать в форме ЕФС Подраздел 1.2 (Cведения о страховом стаже) годовой отчет	Как указывать в форме ЕФС Подраздел 1.2 (Cведения о страховом стаже) годовой отчет для сотрудника, работающего 5 часов в день в отпуске по уходу за ребенком?	0				0.0	0.441239595413208
подскажите если сотрудники уходят в отпуск поочереди, их заменяет один человек, можно ли с ним оформить договор ГПХ на это время или это должен быть обязательно трудовой договор?	Можно ли оформить договор ГПХ на время замены сотрудников в отпуске?	0				0.0	0.40897035598754883
Здравствуйте Вопрос. Сотрудник оформил отпуск с 01.08.2023 по 28.08.2023 . С 23.08 по 28.08 у сотрудника больничный лист. С 01.08.2023 по 03.09.2023  отпуск был продлен из больничного. Как все это отразить в отчете СЗВ стаж	Как отразить в отчете СЗВ стаж отпуск с больничным листом и продление из больничного?	0				0.0	0.20755457878112793
передать письменно. Подскажите если сотрудник хочет сейчас получить отпускные а отгулять в декабре. Наша компания не против. как законно это сделать	Как законно предоставить отпускные заранее?	0				0.0	0.19273877143859863
Добрый вечер! Подскажите пожалуйста, а если у сотрудницы был отпуск по уходу за ребенком до 1,5 лет (с 14.05.22 по 20.08.23) и далее заявление на отпуск по уходу за ребенком до 3 лет (с 21.08.23 по 20.02.25) надо ли заполнять подраздел 1.2 формы ЕФС-1 за 2023 года и какой тип сведений указывать: первичный или назначение выплат по ОСС?	Как заполнять форму ЕФС-1 для сотрудницы, которая была в отпуске по уходу за ребенком до 1,5 лет и затем подала заявление на отпуск по уходу за ребенком до 3 лет?	0				0.0	0.24693012237548828
Добрый день.Хотим уволить сотрудника по соглашению сторон,кроме з.п и компенсации  за отпуск ,что мы должны выплатить в каком размере и чем эта компенсация будет облагаться?	Как рассчитывается компенсация при увольнении в отпуске?	445536	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/16/62441/actual/	увольнение по соглашению сторон размер компенсации	SbertT5	0.6364724636077881	0.35861706733703613
Здравствуйте! Сотрудник взял отпуск авансом, потом ушел на больничный. За декабрь нет заработка. Теперь увольняется. Как рассчитать сотрудника при увольнении если у него нет заработка и взяты дни отпуска авансом?	Как рассчитывать заработную плату при увольнении сотрудника, если у него нет заработка и взяты дни отпуска авансом?	0				0.0	0.4231235980987549
Добрый день Сотрудница ушла в отпусг по уходу до 1,5 лет 07 ноября 2022 года. Весь 2023 год была в данном отпуске. Сам отпуск закончится 4 марта 2024 года. Подскажите  отчет ЕФС-1 за 2023 год нужно ли подавать на данную сотрудницу сведения? Ребенку в 2023 не исполнилось еще 1,5 лет.	Нужно ли подавать отчет ЕФС-1 за 2023 год для сотрудницы, которая была в отпуске по уходу до 1,5 лет и ребенку в 2023 году не исполнилось еще 1,5 лет?	0				0.0	0.4091346263885498
Добрый день. подскажите, пожалуйста, надо ли заполнять на декретниц и сотрудниц , находящихся в отпуске по уходу за ребенком до 1,5 и 3-х лет  отчет ЕФС-1 раздел 1.2? Надо ли указывать окончание декрета в январе 2024 года? или  конец периода проставлять 31 декабря 2023 года и подавать уже дополнительный ЕФС-1 раздел 2.1 в 2024 году?	Как заполнять ЕФС-1 для сотрудников на декрет по уходу за ребенком до 1,5 и 3-х лет, находящихся в отпуске?	0				0.0	0.20386195182800293
вопрос верно ли утверждение, что резервы по отпускам, проверяются только в конце года по результатам инвентаризации, т.к. основным документом, который подтверждает правильность формирования сальдо по сч. 96 на отчетную дату (в бухгалтерском и налоговом учете), является инвентаризационная опись по данному счету	Правильность проверки резервов по отпускам в конце года и использование инвентаризационной описи для подтверждения сальдо по счету 96.	0				0.0	0.21091175079345703
Добрый день . При составлении сведений о трудовой деятельности в МКС, указаны дополнительные сведения ДЛОТПУСК. Можно образец заполнения мне отправить	Как заполнять сведения о трудовой деятельности в МКС, указав дополнительные сведения ДЛОТПУСК	0				0.0	0.17545819282531738
Сотрудница вышла в отпуск по уходу за ребенком до 1,5 лет в 2023 году, но продолжала работать в период отпуска по уходу за ребенком в режиме неполного рабочего времени. Нужно ли подать ЕФС-1 Подраздел 1.2 (сзв стаж) по данной сотруднице в отчете за 2023 год?	Как отразить в СЗВ-СТАЖ выход на неполный рабочий день из отпуска по уходу до 1,5 лет с сохранением пособия?	0				0.0	0.20209670066833496
Чтобы рассчитать средний дневной заработок для начисления больничного, разделите заработок сотрудника за расчетный период на 730 (ч. 3 ст. 14 Закона от 29.12.2006 № 255-ФЗ, в ред. Закона от 02.04.2023 № 98-ФЗ). Число 730 для пособия по временной нетрудоспособности нельзя уменьшать на дни болезни, отпуска, командировки и подобные периоды, которые совпали с расчетным. Никакие иные периоды не уменьшают число 730. «Как рассчитать средний дневной заработок для больничного». И.М. Савич © Материал из БСС «Система Главбух». Подробнее: https://www.1gl.ru/#/document/86/595999/bssPhr7/?of=copy-ea645da68a  «Как учесть изменение зарплаты при расчете отпускных». И.И. Шкловец © Материал из БСС «Система Главбух». Подробнее: https://www.1gl.ru/#/document/16/54644/?of=copy-2afc4a0f3f	Как рассчитывается средний дневной заработок для начисления больничного?	586683	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/696515/actual/	как рассчитать средний дневной заработок для больничного	SbertT5	0.5552791953086853	0.5374956130981445
Здравствуйте, скажите пожалуйста ПЕРВЫЙ отпуск в году должен быть не менее 14 дней? или всего в году не менее 14? а остальные например можно отгулять 10 дней в феврале 4 дня а апреле и оставшиеся 14	Как рассчитывается минимальная продолжительность отпуска в году?	0				0.0	0.4059569835662842
Здравствуйте! Подскажите, пожалуйста, в ЕФС-1 (сзв-стаж) за 2023 г. нужно включать всех сотрудников или же только тех, кто в отпуске по уходу за ребенком, в отпуске без з/п и др.	Какие сотрудники нужно включать в ЕФС-1 (сзв-стаж) за 2023 г.?	491185	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/86/523840/actual/	работа в отпуске по уходу за ребенком сзв-стаж	SbertT5	0.9377120733261108	0.389110803604126
здравствуйте, подскажите пожалуйста работник в 2023 году взял только половину отпуска, что указать в графике отпусков за 2023 год в основании переноса отпуска и нужо ли указать дату предполагаемого отпуска.Спасибо	Как указать в графике отпусков за 2023 год, что работник взял только половину отпуска и нужно ли указывать дату предполагаемого отпуска?	0				0.0	0.21127605438232422
Добрый день! Подскажите пожалуйста в таком вопросе: перерывы для кормления ребенка облагаются НДФЛ и взносами ? Включаются при расчете среднего заработка (например отпуск) данные выплаты ?	Перерывы для кормления ребенка облагаются НДФЛ и взносами?	0				0.0	0.20601129531860352
Добрый день. Подскажите, есть какие-то правила, рекомендации о допустимости установления различных отпускных цен на одни и те же товары для различных контрагентов. В частности интересует, есть ли регулируемая разница в между минимальной и максимальной отпускной ценой на один и тот же товар различным контрагентам.	Есть ли разница в установлении отпускных цен для различных контрагентов?	0				0.0	0.21602487564086914
Добрый день! Сотрудница увольняется после декрета, для расчета компенсации за неиспользованный отпуск учитывается период, когда ее зп была ниже чем мрот на сегодняшний день, как посчитать компенсацию? нужно ли сравнивать заработок на тот период с мрот на сегодняшний день?	Как рассчитывается компенсация за неиспользованный отпуск после увольнения?	0				0.0	0.3041999340057373
Добрый день! Работодатель принял сотрудника на вновь созданное рабочее место, которое впоследствии может окажется опасным (вредным.) Когда у сотрудника возникает право на получение соответствующих доплат и дополнительного оплачиваемого отпуска ? С момента приема его на работу на данное рабочее место или с момента проведения спецоценки?	Как рассчитывается доплата и дополнительный оплачиваемый отпуск для сотрудника, работающего на опасном (вредном) рабочем месте?	0				0.0	0.19872212409973145
Добрый день, вопрос:: Сотрудник организации- отец  уходит в отпуск по уходу за ребенком до 1,5 лет, может ли он продолжать работать в той же должности на условиях неполного рабочего времени и когда ( с какого дня) мы его можем отправить в отпуск по уходу если мать не работает	Может ли сотрудник, уходя в отпуск по уходу за ребенком до 1,5 лет, продолжать работать на условиях неполного рабочего времени и с какого дня мы можем отправить его в отпуск, если мать не работает?	0				0.0	0.40700817108154297
Организация планирует выплатить сотрудникам разовую выплату к Новому году . Предполагается одинаковая фиксированная сумма для всех сотрудников независимо от нахождения сотрудников на работе, в отпуске, на больничном ит.д.. Разовая выплата оговорена в системе оплаты труда организации. Все выплаты облагаются НДФЛ и страховыми взносами. Как правильно оформить выплату, чтобы сумма выплаты и страховых взносов уменьшали налогооблагаемую базу по налогу  на прибыль?	Как оформить разовую выплату сотрудникам, чтобы сумма выплаты и страховых взносов уменьшали налогооблагаемую базу по налогу на прибыль?	0				0.0	0.5196671485900879
в 2024 году надо организации создавать приказ об отпуске сотрудницы по уходу за ребенком до 1,5 лет и 3х лет?	Как создавать приказ об отпуске сотрудницы по уходу за ребенком до 1,5 лет и 3х лет?	536231	Вот материал по вашему вопросу. Если это не совсем то, что нужно, я продолжу поиск  https://1gl.ru/#/document/118/19985/actual/	приказ о предоставлении отпуска по уходу до 3х лет	SbertT5	0.621489942073822	0.3525509834289551
Добрый день! Сотрудник ушел в отпуск с декабря 2023 по конец января 2024. Надо ли пересчитывать отпускные в связи с увеличением МРОТ? Спасибо!	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.2054884433746338
Добрый день! Подскажите пожалуйста, работодатель обязан ли предоставлять сотруднику отпуск через 6 мес. после трудоустройства или это по согласованию с работодателем?	Как рассчитывается компенсация при увольнении в отпуске?	0				0.0	0.2585885524749756
Доброе утро! У сотрудника ребенок инвалид. Он хочет взять отпуск ( по уходу за детьми-инвалидами) за 2023 г. - 16 дней. В 2023 году он успевает взять только 15, можно ли один день из 16 перенести на январь 2024 года?	Можно ли переносить один день отпуска на следующий год?	0				0.0	0.19770073890686035
