Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Date
Добрый день! Относим ли к НМА неисключительное право более 100 т.р. и мроком 3 года	15038019	1	0	0	45362
Добрый день, можно ли получить разъяснения по подрядным работам?	20533188	1	0	0	45362
Подскажите, пжл, если организация зарегистрирована 26 декабря сотрудников нет, нужно ли подавать расчет по страховым взносам за 2023 год?	2783293	1	0	0	45362
Добрый день! Как распределяются алименты, сколько % и кому, если у отца двое детей от одной женщины, и третий ребенок от другой? Помогите пожалуйста)	1941394	1	0	0	45362
Добрый день! Подскажите нужно ли перенести Дт остатки по страховым взносам на 01.01.2023 га единый налоговый счет и какие проводки?	21179167	1	0	0	45362
Здравствуйте, какой ОКВЭД указывается в бух отчетности 0 основной по ЕГРЮЛ?	3073796	1	0	0	45362
Добрый день. Метод оценки товаров при списании по способу средневзвешенной стоимости?	12425000	1	0	0	45362
Добрый день, суммы резервов отпусков на конец года должны равняться бухгалтерский и налоговый учет?	8018909	1	1	0	45362
спасибо!	522699	1	1	1	45362
Добрый день! Подскажите, ИП на УСН 6% (доходы) делаю НД по УСН, сумма взносов на которую можно уменьшить начисленный налог сколько лимит на 2023 год?	6946613	1	0	0	45362
Доброе утро! Подскажите, можно ли оформить безпроцентный займ между ООО и ИП если ИП генеральный директор в ООО, или необходимо все таки установить какую то процентную ставку по займу?	797971	1	0	0	45362
изменения с марта	6489570	1	1	1	45362
профессиональное суждение	13053633	1	0	0	45362
Здравствуйте! Нужно ли сдавать отчет СЗВ-стаж, если работника по заявлению переводим с 8ми часового на 2х часовой рабочий день?	209258	1	0	0	45362
нужны оквэд аренда земли. продажа агрохимикатов, прочие продажи.	1751322	1	0	0	45362
Добрый день! Помогите, пожалуйста, с вопросом по пособию на погребение родственника. Как подавать заявление и какие документы нужны?	20300777	1	0	0	45362
В случае если организация самостоятельно оплатила приглашенному преподавателю (жд/авиа билеты, гостиницу, питание) нужно ли такие расходы облагать НДФЛ и страховыми взносами?	16645324	1	0	0	45362
Здравствуйте! Подскажите куда нужно подать заявления, чтобы ИП сняться с работодателя?	375721	1	0	0	45362
Добрый день. Подскажите могу ли я принять в расходы по налогу на прибыль документы 2021 г. ? Если они только сейчас их предоставили	4915498	1	0	0	45362
добрый день! наша организация приобрела камаз б/у , у организации. В целях начисления амортизации по этим объектам наша организация вправе предусмотреть норму амортизации с учетом срока полезного использования, уменьшенного на количество лет (месяцев) эксплуатации данного имущества предыдущими собственниками. Срок фактической эксплуатации б/у объекта основных средств должен быть подтвержден документально. Уточните , какими именно документами должен быть подтвержден срок фактической эксплуатации?	2481069	1	0	0	45362
"Частное учреждение здравоохранения (ОСНО) реорганизовано в форме присоединения к ней других частных учреждений (УСН, ОСНО). Уведомление о завершении реорганизации было подано в МИНЮСТ 27 октября 2023 г., запись в ЕГРЮЛ внесена 13 ноября 2023 г. 
С работниками присоединяемых учреждений заключены дополнительные соглашения к трудовым договорам о том, что они являются работниками реорганизованного учреждения с 01.11.2023 г., о чем поданы сведения СЗВ-ТД в СФР. Заработная плата и страховые взносы начислены и уплачены присоединенными учреждениями по 31.10.2023 г. включительно. При этом единый т"	4176127	1	0	0	45362
Изменения 2024 год	3783613	1	1	1	45362
Добрый день! У сотрудника есть судебный приказ на удержание алиментов. От приставов документы на удержание в организацию еще не поступали (служба приставов находится в другом регионе). Можно ли удерживать алименты по заявлению сотрудника или ждать документы от приставов? Какие документы должен предоставить сотрудник (оригинал судебного приказа или копию (должна ли быть копия заверена у нотариуса)?	3075693	1	0	0	45362
Здравствуйте! как правильно заверить трудовую если у сотрудника приостановлен трудовой договор? сотрудник мобилизован.	7169310	1	0	0	45362
Добрый день. Подскажите пожалуйста, будет ли штраф за нарушение сроков подачи ЕФС-1, если мы самостоятельно выявили нарушение и пересдали отчет?	1853789	1	0	0	45362
Добрый день! Подскажите пожалуйста,: Какая отраслевая налоговая нагрузка по РФ при УСН в 2022 и 2023 г.? Какая среднеотраслевая налоговая нагрузка по субъектам РФ при УСН в 2022 и 2023 г.?	6202965	1	0	0	45362
как ИП заполнять 3-НДФЛ, если ведет разные виды деятельности на ОСН?	12904354	1	0	0	45362
профсуждение	1564383	1	1	1	45362
Здравствуйте! Какую часть прибыли можно снять в виде дивидендов?	853417	1	1	1	45362
день добрый. подскажите какие регионы россии имеют льготные системы налогообложения? по типу сниженых ставок УСН как в регионе Улан-Удэ	8967967	1	0	0	45362
Добрый день! Можем ли мы принять по ЭДО документ (УПД) со статусом 1?	20895901	1	1	0	45362
"добрый день! возник такой вопрос.
При сдаче декларации расчета по страховым взносам по сроку 25 апреля 2024 за 1 квартал 2024 года. 
Нужно ли подавать уведомление за март с подачей декларацией.? или декларация является уведомлением за март 2024года?"	20872491	1	0	0	45362
а какой срок подачи ефс-1 при переводе сотрудника на неполный рабочий день?	209258	1	1	0	45362
Доброго времени суток, подскажите, ООО на КСНО заключило договор на услуги по бух обслуживанию в январе 2024г., который распространяет свое действие на 4 кв. 2023г. акт будет подписан в марте 2024г., т.к. только этому времени будет сделана работа за 4 кв. 2023г., для целей налогообложения в каком периоде правильно отражать данные расходы?	776827	1	0	0	45362
Добрый день , какими проводками отразить расходы по ремонту автомобиля подрядной организацией , в случае получения компенсации расходов от страховой компании	13435132	1	0	0	45362
Здравствуйте! Вопрос: Если комитент сделал скидку по закупочной цене, то эта скидка включается в комиссионное вознаграждение комиссионера?	2026913	1	0	0	45362
Добрый день! Подскажите, пож-та, трудоустроился сотрудник не с начала года, хочет получить вычеты на детей, при этом справку о доходах с предыдущего места работы не предоставляет. Имеем ли мы право не принимать его заявление без справки от предыдущего работодателя?	18052747	1	0	0	45362
Доброе утро. Физическое лицо прощает долг компании, возникает ли в данном случае ндфл у физического лица?	5353251	1	0	0	45362
Добрый день вопрос по основным средствам. У организации есть недвижимость, были выполнены работы по монтажу системы видеонаблюдения по данному объекту, как провести в учете данную сумму	307738	1	0	0	45362
Добрый день! Отправка уведомления по НДФЛ и взносам раньше установленного срока влечет за собой какие либо санкции?	1930356	1	0	0	45362
что делать работодателю если иностранный работник получил паспорт, был вид на жительство	9168901	1	0	0	45362
Добрый день! Можно ли списать стоимость товаров за счёт чистой прибыли?	292598	1	0	0	45362
Доброе утро, подскажите пожалуйста. Направьте в нужное русло. Создаем предприятие МУП (тепловое). Ориентировочная сумма Уставного капитала 20 млн.руб, деньги на развитие и становление предприятия. Вопрос- есть ли ограничения по капиталу МУПа-имею ввиду по календарным срокам, если пополнять данную сумму не сразу, а к примеру каждый месяц. Возможно будет налог на прибыль, платить нам его не хочется. Спасибо	21659707	1	0	0	45362
добрый день! подскажите по какой форме сдавать баланс на усн доходы-расходы за 2023 год?	5435374	1	1	1	45362
как составить ходатайство приставу?	8677835	1	0	0	45362
Добрый день!	5279889	1	1	0	45362
Здравствуйте. Можно сделать авансовый отчет на Иванова на прямую, и перевести деньги на него, если товар оплачивал Петров (деньги для оплаты товара ему перевел Иванов, который находится в другой регионе и сам не может оплатить товар)?	1733189	1	0	0	45362
Доброе утро! Можно ли провести на 91 счет расходы на проведение банкета для сотрудников организации?	3794494	1	0	0	45362
Добрый день. Хотим открыть ИП для интернет торговли выпечкой через франчайзинг. Подскажите, пожалуйста, какой при регистрации ИП выбрать ОКВЭ и доп коды , какую систему налогообложения выбрать, и как вести бух и налоговый учет при работе через франчайзинг	5212668	1	0	0	45362
нужно ли переделывать печать, если сменили юридический адрес	6568152	1	0	0	45362
,	4307868	1	0	0	45362
Добрый день, подскажите , пожалуйста, срок сдачи стат отчет по импорту в 2024? какая дата является датой получения товара? имеет ли при этом страна из которой получили товар ( импорт)?	105751	1	0	0	45362
Здравствуйте. Подскажите, пжл., возникнет ли у физического лица НДФЛ, если в его пользу брат/сестра отказались от доли наследства после смерти одного из родитлей.	5780252	1	0	0	45362
Доброе утро! Мы перешли на пониженную ставку УСН в ноябре 2023г. Т.е. до этого у нас была ставка 6%, в ноябре 2023г получили аккредитацию, как ИТ компания. Следовательно, с момента получения аккредитации мв имеем право применить ставку по УСН 1%.. Как правильно все это отразить в декларации по УСН. т.е. в декларации только одна строка для 4 квартала. У нас получается в 4 квартале две ставки. Подскажите пожста, как быть в этом случае	432295	1	0	0	45362
здравствуйте ! нужна помощь ИП на УСНО (дох минус расх) продал недвижимость родственнику в 2023г за 22млн ,купил в 2018 за 18,1млн когда не был ИП ,оплату по договору продажи он не получил, следует ли включить данную продажу в доход по УСН ?	21150322	1	0	0	45362
добрый день. Подскажите пожалуйста, сотруднику исключили вредность. Как рассчитать доплату до среднего заработка по прежней работе, если в феврале ей положено вознаграждение за нерабочий праздничный день. Учитывается ли вознаграждение в составе заработной платы за февраль?	17418943	1	0	0	45362
Добрый день, подскажите пожалуйста. Генеральный директор приобрел дорогой автомобиль и норма расхода ГСМ большая. Сейчас хочет сдавать его в аренду своей организации. Будет его использовать для встреч и переговоров с руководителями покупателя. Грозит нам с налоговой не обоснованные расходы.	1830493	1	0	0	45362
Да, мы согласны подождать	17927138	1	0	0	45362
изменение в марте	20181161	1	1	1	45362
Добрый день! Когда нужно будет маркировать соки и напитки, кока кола и прочие ?	4309886	1	1	1	45362
Добрый день! ООО на ОСНО, начисляет неустойку и штрафные санкции по договору транспортной экспедиции покупателю. Вопрос в какой момент нужно отразить начисленные санкции? Спасибо	2489596	1	0	0	45362
профессиональное суждение	138241	1	1	1	45362
Здравствуйте	2766094	1	1	0	45362
Здравствуйте! Основное средство полностью самортизировано в бухгалтерском и налоговом учете, но еще используется в производстве продукции. Подлежит ли такое основное средство списанию?	883886	1	0	0	45362
изменения март	16995766	1	1	1	45362
Удаление зуба относится к лечению? Есть чек ,акт выполненных и договор. Справка об оплате тоже нужна?	467109	1	0	0	45362
консультативная работа в области агропромышленности какой оквэд?	1751322	1	0	0	45362
"Здравствуйте подскажите пожалуйста
у ИП патент на организацию похорон под ключ
может ли он в чеке прописывать каждую позицию например (гроб, венки, одежда, памятник и др.)
не попадают ли данные позиции под усн? 
или правильнее в чеке писать просто Организация похорон и все без подробностей"	602036	1	0	0	45362
изменения с марта	2669858	1	1	1	45362
Доброго времени. Организация с 10.07.2023 потеряла статус малого предприятия. Активы бухгалтерского баланса на конец 2022года превысили 400 млн.руб. За какой год организация подлежит обязательно аудиторской проверке?	439957	1	0	0	45362
здравствуйте	4602564	1	1	0	45362
"Здравствуйте! Какие штрафы или административки грозят организации, если нарушит срок отправки уведомлений иностранному гражданину согласно статье 84 пункт 2.1 НК ""Организация (индивидуальный предприниматель), получившая уведомление налогового органа о постановке на учет иностранного гражданина, лица без гражданства на основании пункта 7.4 статьи 83 настоящего Кодекса, обязана в течение пяти дней со дня получения такого уведомления направить его иностранному гражданину, лицу без гражданства, а также представить в налоговый орган, в котором иностранный гражданин, лицо без гражданства поставлены"	9528186	1	0	0	45362
Здравствуйте. Такой вопрос - с ИП за аренду платим 6% УСН, нужно ли эти доходы указывать в декларации 3-НДФЛ?	2330725	1	0	0	45362
Доброе утро!	9268199	1	1	0	45362
ндфл	18381454	1	1	1	45362
Здравствуйте. ООО на ОСНО. Заключен договор аренды на автокран сроком 11 мес. Возможно ли пролонгировать данный договор или заключить новый с уточнением на пролонгацию в последующие годы?	19820920	1	0	0	45362
Здравствуйте. Подскажите, как в 2024 году исчисляются налоги за главу и членов КФХ - юридического лица? У них фиксированные страховые взносы, как у ИП? или им начисляется зарплата?	856011	1	0	0	45362
изменения с марта	21378686	1	1	1	45362
Здравствуйте.	12578982	1	1	0	45362
"Коллеги доброе утро! У ИП есть сотрудница, которая находится в отпуске по уходу за ребенком до 1,5 лет. с 27 февраля представила больничный лист по беременности и родам. Бухгалтер заполнила сведения по больничному листу и направила в СФР. Но пришло извещение об ошибке - /Л)Обнаружено пересечение периодов оплаты со следующими документами : ""E_2000003527_2022_12_23_0
001:1"""	6015308	1	0	0	45362
Вопрос эксперту направлять на электронную почту?	21001246	1	0	0	45362
здравствуйте	14004603	1	1	1	45362
чек лист для на мартна 2024	20409820	1	1	1	45362
Здравствуйте! Можно ли часть годовой прибыли снять в виде дивидендов? Либо дивиденды должны сниматься в полном размере годовой прибыли?	853417	1	0	0	45362
ндс 0% стоматология как вести учет	3298531	1	0	0	45362
чек лист на март 2024	1871013	1	1	1	45362
Добрый день, подскажите планируем выдать сотруднику беспроцентный займ. Наш сотрудник платит алименты по исполнительному листу. Надо ли удерживать алименты с суммы займа, а также нужно ли удерживать алименты с материальной выгоды полученной от экономии на процентах?	592524	1	0	0	45362
Здравствуйте! Для расчёта пособия по временной нетрудоспособности берется заработок за предыдущие два года. Вопрос какую сумму брать, фактически выплаченную из справки 2-НДФЛ или начисленную из РСВ?	292598	1	0	0	45362
добрый день. вопрос: необходимо ли предоставлять форму ЕФС-1 при переходе сотрудника на режим неполного рабочего времени?	7207677	1	0	0	45362
Добрый день. Законсервировано основное средство 01.04.2009 г., Оставшийся СПИ в налоговом учете 86 месяцев. В консервации находился объект 7,2 лет. Расконсервировали 01.02.2024 г. Вопрос: в налоговом учете продолжаю начислять амортизацию пока не закончится СПИ 86 месяцев? Или в НУ прекращаю начислять амортизацию, так как СПИ в НУ закончился в 2016 году, а продлевать его нельзя с 2020 года. Или речь идет о дополнительном продлении СПИ основного средства?	3052675	1	0	0	45362
Добо=рый день! Подскажите, может ли поручитель ФЛ внести оплату долга за ЮЛ другому ЮЛ в кассу?	6946613	1	0	0	45362
Добрый день!	2570351	1	1	0	45362
если вовремя не подали уведомление, как это исправить?	14732222	1	0	0	45362
а если организация занималась несколькими видами деятельности?	3073796	1	0	0	45362
Добрый день страхование груза при грузоперевозке является обязательным или добровольным?	18536654	1	0	0	45362
Добрый день! Должен ли ИП отчитываться по экологии, если имеет цех по переработке рыбы? Если да, то по месту осуществления деятельности или по прописке? Спасибо.	18804729	1	0	0	45362
Добрый день. Отправьте пожалуйста форму журнала сверок с военкоматом	884969	1	0	0	45362
Благодарю!	2026913	1	1	1	45362
при приеме на работу мужчины с военным билетом, какие то документы нужны передавать?	21400651	1	1	1	45362
В какой момент можно изменить метод начисления амортизации основных средств?	1599589	1	1	1	45362
Физ.лицо работает по договору ГПД (оказание услуг) в 2022 и 2023 г. в 2022 взносы за него в ФСС не платили. В 2023г. взносы платили. У него есть основное место работы по трудовому договору. 07.03.24 пришел на него больничный лист. Трудовой книжки его у нас нет. вознаграждение по ГПД за 2022 год. -800тыс и за 2023г. - 800тыс.	184680	1	0	0	45362
"Доброе утро! ИП на УСН ""Доходы"" за 1 квартал 2024 года получил доход 1 млн.рублей. Вправе ли ИП уменьшить налог по УСН за 1 квартал на фиксированные страховые взносы за 2024 год в сумме 49500 рублей и на страховые взносы свыше 300 тысяч рублей в сумме 7000 рублей ((1 000 000 - 300 000) Х 1%. Итого страховых взносов 56500 рублей). Когда следует уплатить в бюджет страховые взносы (как фиксированные так и свыше 300 тысяч) чтобы налог по УСН уменьшили и какие уведомления или заявления нужно подать в налоговую, чтобы налог по УСН уменьшили на страховые взносы?"	1751461	1	0	0	45362
"Частное учреждение здравоохранения (ОСНО) реорганизовано в форме присоединения к ней других частных учреждений (УСН, ОСНО). Фактически деятельность в присоединяемых учреждениях прекратилась 27.10.2023 г., о чем подано соответствующее заявление в ИФНС. Однако запись в ЕГРЮЛ о завершении реорганизации внесена 13.11.2023 г.
Какими документами следует оформить трудовые отношения между сотрудниками присоединяемого учреждения и правопреемником за период с 28.10.2023 по 13.11.2023 г.?"	1941394	1	0	0	45362
Добрый день, каков порядок удержания НДФЛ у резидента Таджикистана, трудоустроенного в России. Имеет патент.	787937	1	0	0	45362
как правильно оформить КДиР для хранения	519381	1	0	0	45362
Изменения марта	17832884	1	1	1	45362
Добрый день! Организация приобрела строительное оборудование. По критериям это основное средство. Использовать в работе начнем через полгода. В какой момент ввести основное средство в эксплуатацию и начислять амортизацию в бухгалтерском и налоговом учете.	4004194	1	0	0	45362
Доброе утро! Акционерное общество обязано размещать стоимость чистых активов на сайте Федресурса, если они отрицательные?	1557196	1	0	0	45362
Уведомление по страховым взносам в 2024 году	21369975	1	1	1	45362
Доброе утро, помогите выбрать ОКВЭД для покупки металла без лицензии. Если надо, то передайте вопрос юристам.	10098669	1	0	0	45362
ГОДОВОЙ ОТЧЕТ	4545417	1	1	1	45362
на сайте ифнс регистрирую ип. при подаче в электронном виде надо подписать эцп заявление могу я подписать эцп выданное на организацию ооо директор лицо которое открывакт ип.	1751322	1	0	0	45362
добрый день!	4120679	1	1	0	45362
Доброе утро. Подскажите 28.12.23 сотрудница ушла в декрет. Пособие 140 дней начислили исходя из заработка 21-22 годов. В марте 2024г родила. Продлили б/л еще на 16 дней. (в связи с осложнениями при родах). Для расчета этого больничного какие года брать? 22-23?	7047754	1	0	0	45362
изменения 24	1944418	1	1	1	45362
изменения с марта	21510404	1	1	1	45362
енп 2024	16521825	1	1	1	45362
Добрый день!	20654695	1	1	0	45362
добрый день. подскажите пожалуйста, ИП принес чеки на покупку продуктов в кафе ( у него свое кафе) расплатился картой которая привязана к расчетному счету ИП. Можем ли мы принять в расходы эти чеки	8294677	1	0	0	45362
Добрый день, в отношении работника начата процедура банкротства. От фин. управляющего в адрес работодателя пришло требование всю зп должника перечислять на специализированный счет. Подскажите, имеет ли право работодатель выплачивать заработную плату через кассу по заявлению работника?	3109464	1	0	0	45362
изменения с марта	21660012	1	1	1	45362
Добрый день. подскажите договор дарения от бабушки внуку не облагается НДФЛ	1568631	1	0	0	45362
вопрос нужна пояснительная записка к бух. отчетности за 2023 г. для торговой организации - образец	7944106	1	0	0	45362
Добрый день, Индивидуальный предприниматель глава крестьянско-фермерского хозяйства должен применять ПБУ 25 Аренда ?	6012107	1	0	0	45362
Добрый день. Заключили договор на оказание услуг на управление спец техникой. По договору подрядчик выполняет работы по капитальному ремонту по замену труб на трассе с привлечением спец. техники. Экскаватора. Какими документами подрядчик должен отчитаться перед заказчиком?	653332	1	0	0	45362
Здравствуйте!Если физическое лицо оплатило организации безналичным способом путем перечеслением на расчетный счет,нужно лии организации пробивать чек ккт?	3295177	1	0	0	45362
Добрый день! Как правильн осейчас заполнять декларацию по доходам иностранных организаций	6415984	1	0	0	45362
профсуждение	1966345	1	1	1	45362
доброе утро	20067220	1	1	0	45362
Если по другому сформулировать вопрос. Как составить пояснительную записку по уточненной декларации по УСН, налог к уменьшению? Из-за технической ошибки не все расходы попадали на уменьшение налогооблагаемой базы.	12578982	1	0	0	45362
Добрый день! Обязан ли работодатель при предьявлении повестки в суд по гражданскому делу в качестве истца предоставлять обоснованный день отдыха?	10453272	1	0	0	45362
отчетность по фсбу	20039688	1	1	0	45362
ема	18380945	1	0	0	45362
Добрый день. Подскажите, пжл, какой ставкой НДФЛ облагаются доходы иностранцев с Узбекистана и Таджикистана?	1654226	1	1	0	45362
Председатель ТСЖ имеет свое ИП. И оказал услуги от имени своего ИП для ТСЖ. Будет ли здесь взаимозависимость? Предусмотрены кроме взаимозависимости какие то риски для ТСЖ?	4907066	1	0	0	45362
НМА изменение в 2024 году	5043565	1	1	0	45362
добрый день! изменения с марта	426655	1	1	1	45362
Добрый день.У нас есть международный контракт с Казахстаном на поставку оборудования. В договоре прописано что цены количество и т.д. согласно спецификациям. Сумма контракта= сумма всех спецификаций. Но одна из спецификаций не подписана,номер пропущен. То есть есть спецификация к договору №1,2,3 и 5,6,7 и т.д. В том что есть пропуск по номеру документа нет ничего страшного?	9360489	1	0	0	45362
Доброе утро. Вопрос по НДС. Аванс получен в 2016 году. НДС с суммы аванса уплачен. Отгрузка произошла в 2024 году. Умеем ли мы право восстановить НДС с полученного аванса при отгрузке в 2024 году?	282345	1	0	0	45362
У нас сотрудница написала заявление о предоставлении отпуска по уходу за ребенком до достижения возраста 3х лет. При этом она не указала, что просит назначить выплату ежемесячного пособия до достижения ребенком возраста 3х лет. Нужно ли переписывать заявление?	5352281	1	0	0	45362
Доброе утро	679806	1	1	0	45362
Здравствуйте, подскажите при работе ООО с маркетплейсами, ООО на УСН д-р, обязательно вести потоварный учет?	7668362	1	0	0	45362
Доброе утро, ИП на усн 6% не включил взносы 1% за 2023 в декларацию 2023. Может ли он включить в зачет налога УСН взнос 1% 2023 года в 1 квартале 2024 года. Взнос 1% 2023 г. не оплачивал в 2024 году. Планирует оплачивать в июле 2024.	5324653	1	0	0	45362
спасибо	9360489	1	0	0	45362
учетная политика	3416229	1	1	0	45362
Добрый день! Прошу подсказать, обязательные подписи и печати в транспортной накладной?	21272907	1	1	0	45362
Добрый день! При начислении отпускных сотруднику, который не имеет полных 12 месяцев дохода так как была в декретном отпуске. Вышла с октября 2023 года и собирается в отпуск, нужно ли менять период для исчисления отпускных на 2 года назад?	2796394	1	0	0	45362
Добрый день. ИП на УСН доходы-расходы. Приобрел земельные участки до регистрации ИП. Потом зарегистрировал ИП построил дома на этих земельных участках и продал уже как ИП. Может ли ИП включить в расходы стоимость земельных участков приобретенных как физлицо?	11663989	1	0	0	45362
Енп 2024	907390	1	1	1	45362
Добрый день. Подскажите при составлении бух. отчетности согласно ФСБУ не должно быть нулевой стоимости по ОС т.е это если сумма на 01 минус амортиз. 02. ? так смотреть нулевую стоимость. ОС которые с амортизировали ?	4915498	1	0	0	45362
